FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
LDP, 1, 05/22/2020, 13:03:01, Record, Internal, 16, Unity, Primary, Unknown, Primary
RecNum, Date, Time, Phase, Status
-1, 1, 2, -1, 3
"IA", "IB", "IC", "IN"
4, 5, 6, 7
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR
"EPSOL01", "SEL-735-R203-V0-Z101100-D20190828", "STATION A", 9, 200, 200, 1, 60
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale
"IA", AVG, "A", "CTR", 0.005, 999999999, 1
"IB", AVG, "A", "CTR", 0.005, 999999999, 1
"IC", AVG, "A", "CTR", 0.005, 999999999, 1
"IN", AVG, "A", "CTRN", 0.005, 999999999, 1
EventDate, EventTime, EventCode, EventDescription
05/13/2020, 19:34:29.118, X2048, "SALARM, Assert"
05/13/2020, 19:34:30.118, X1048, "SALARM, Deassert"
05/13/2020, 19:34:33.360, X2048, "SALARM, Assert"
05/13/2020, 19:34:34.360, X1048, "SALARM, Deassert"
05/13/2020, 19:35:39.718, X2048, "SALARM, Assert"
05/13/2020, 19:35:40.718, X1048, "SALARM, Deassert"
05/13/2020, 19:37:37.101, X2048, "SALARM, Assert"
05/13/2020, 19:37:38.101, X1048, "SALARM, Deassert"
05/13/2020, 19:37:52.501, X2048, "SALARM, Assert"
05/13/2020, 19:37:53.501, X1048, "SALARM, Deassert"
05/14/2020, 20:38:43.487, X2048, "SALARM, Assert"
05/14/2020, 20:38:44.487, X1048, "SALARM, Deassert"
05/14/2020, 20:39:23.504, X2048, "SALARM, Assert"
05/14/2020, 20:39:24.504, X1048, "SALARM, Deassert"
05/15/2020, 12:38:29.349, X2048, "SALARM, Assert"
05/15/2020, 12:38:30.349, X1048, "SALARM, Deassert"
05/15/2020, 12:38:56.016, X2048, "SALARM, Assert"
05/15/2020, 12:38:57.016, X1048, "SALARM, Deassert"
05/15/2020, 12:39:06.616, X2048, "SALARM, Assert"
05/15/2020, 12:39:07.616, X1048, "SALARM, Deassert"
05/15/2020, 12:40:00.649, X2048, "SALARM, Assert"
05/15/2020, 12:40:01.649, X1048, "SALARM, Deassert"
05/15/2020, 12:42:48.666, X2048, "SALARM, Assert"
05/15/2020, 12:42:49.666, X1048, "SALARM, Deassert"
05/20/2020, 11:53:17.650, X2048, "SALARM, Assert"
05/20/2020, 11:53:18.650, X1048, "SALARM, Deassert"
05/20/2020, 11:53:31.692, X2048, "SALARM, Assert"
05/20/2020, 11:53:32.692, X1048, "SALARM, Deassert"
05/20/2020, 12:02:20.250, X2048, "SALARM, Assert"
05/20/2020, 12:02:21.250, X1048, "SALARM, Deassert"
05/20/2020, 15:04:00.008, X0003, "Time change (manual set occurred)"
05/20/2020, 15:06:04.483, X2048, "SALARM, Assert"
05/20/2020, 15:06:05.483, X1048, "SALARM, Deassert"
05/20/2020, 15:06:08.075, X2048, "SALARM, Assert"
05/20/2020, 15:06:09.075, X1048, "SALARM, Deassert"
05/20/2020, 15:13:11.633, X2048, "SALARM, Assert"
05/20/2020, 15:13:12.633, X1048, "SALARM, Deassert"
05/22/2020, 06:35:28.989, X0002, "Power loss"
05/22/2020, 06:35:39.325, X0001, "Power restored"
Record, Date, Time, Status, "IA", "IB", "IC", "IN"
261, 04/02/2020, 12:17:00, "...", 2.56276655, 2.03241014, 1.46669698, 0
260, 04/02/2020, 12:18:00, "...", 2.55962801, 2.03187513, 1.46074557, 0
259, 04/02/2020, 12:19:00, "...", 2.545964, 2.02180862, 1.46188354, 0
258, 04/02/2020, 12:20:00, "...", 2.53376842, 2.01952219, 1.49390411, 0
257, 04/02/2020, 12:21:00, "...", 2.53248215, 2.02194667, 1.53836489, 0
256, 04/02/2020, 12:22:00, "...", 2.5278039, 2.02905798, 1.59770381, 0
255, 04/02/2020, 12:23:00, "...", 2.53093219, 2.03268456, 1.62092817, 0
254, 04/02/2020, 12:24:00, "(2;3)", 2.51235151, 0.04086277, 1.60938275, 2.05121922
253, 04/02/2020, 12:25:00, "...", 2.53212619, 0, 1.62806153, 2.03448391
252, 04/02/2020, 12:26:00, "...", 2.54433274, 0, 1.65727806, 2.04411316
251, 04/02/2020, 12:27:00, "...", 2.55464458, 0, 1.68264914, 2.04788709
250, 04/02/2020, 12:28:00, "...", 2.54213858, 0.65640897, 1.71295857, 2.25868678
249, 04/02/2020, 12:29:00, "...", 2.54961133, 0.92972535, 1.72322035, 2.41839051
248, 04/02/2020, 12:30:00, "...", 2.50273323, 0.9040677, 0.81259841, 2.30070662
247, 04/02/2020, 12:31:00, "...", 2.012604, 0.88984156, 2.46252513, 3.6199708
246, 04/02/2020, 12:32:00, "...", 1.81915402, 0.80619705, 0.15930855, 2.28297329
245, 04/02/2020, 12:33:00, "...", 2.47776198, 0.48271188, 0.58200455, 2.65138745
244, 04/02/2020, 12:34:00, "...", 2.36640644, 0.69293958, 0.18090445, 2.49175811
243, 04/02/2020, 12:35:00, "...", 2.40349889, 0.73734254, 0.18031962, 2.3936727
242, 04/02/2020, 12:36:00, "...", 2.49468756, 0.91137803, 1.48159516, 3.02228022
241, 04/02/2020, 12:37:00, "...", 2.49412107, 0.90222621, 1.50318277, 2.99680495
240, 04/02/2020, 12:38:00, "...", 2.50251174, 0.89487255, 1.60605311, 3.07713151
239, 04/02/2020, 12:39:00, "...", 2.49992204, 0.89330059, 1.65970528, 3.11093068
238, 04/02/2020, 12:40:00, "...", 2.50178981, 0.88942403, 1.68129146, 3.1305871
237, 04/02/2020, 12:41:00, "...", 2.49902248, 0.88795096, 1.72169268, 3.15478134
236, 04/02/2020, 12:42:00, "...", 2.4984653, 0.88504416, 1.71670222, 3.15306067
235, 04/02/2020, 12:43:00, "...", 2.49672151, 0.88297015, 1.71638727, 3.15237451
234, 04/02/2020, 12:44:00, "...", 2.49952865, 0.88342428, 1.68909264, 3.1377871
233, 04/02/2020, 12:45:00, "...", 2.49493313, 0.87965953, 1.6577512, 3.11454511
232, 04/02/2020, 12:46:00, "...", 2.49481869, 0.88236797, 1.62962639, 3.09484673
231, 04/02/2020, 12:47:00, "...", 2.49149084, 0.87599587, 1.58909035, 3.06831765
230, 04/02/2020, 12:48:00, "...", 2.49014878, 0.87680137, 1.58242691, 3.06205773
229, 04/02/2020, 12:49:00, "...", 2.48563957, 0.87284839, 1.57252252, 3.05228233
228, 04/02/2020, 12:50:00, "...", 2.48802614, 0.87233174, 1.5422883, 3.03675604
227, 04/02/2020, 12:51:00, "...", 2.48654485, 0.86934108, 1.52502215, 3.02578926
226, 04/02/2020, 12:52:00, "...", 2.49118304, 0.86844087, 1.5178138, 3.02741694
225, 04/02/2020, 12:53:00, "...", 2.49216652, 0.87213153, 1.53863966, 3.03990555
224, 04/02/2020, 12:54:00, "...", 2.48775196, 0.87393427, 1.52801085, 3.02712202
223, 04/02/2020, 12:55:00, "...", 2.4899497, 0.87213099, 1.4974618, 3.01267004
222, 04/02/2020, 12:56:00, "...", 1.50322735, 0.87424421, 1.47922349, 2.07011056
221, 04/02/2020, 12:57:00, "...", 0, 0.87890464, 1.47089207, 0.64421803
220, 04/02/2020, 12:58:00, "...", 0, 0.87703055, 1.4749099, 0.64965415
219, 04/02/2020, 12:59:00, "...", 0, 0.87979573, 1.46306658, 0.63665813
218, 04/02/2020, 13:00:00, "...", 0, 0.87018925, 1.45014322, 0.63256031
217, 04/02/2020, 13:01:00, "...", 0, 0.87437481, 1.44082725, 0.62062877
216, 04/02/2020, 13:02:00, "...", 0, 0.87389511, 1.43467677, 0.61550426
215, 04/02/2020, 13:03:00, "...", 0, 0.87669861, 1.42854476, 0.60747093
214, 04/02/2020, 13:04:00, "...", 0, 0.87310559, 1.4151895, 0.59862441
213, 04/02/2020, 13:05:00, "...", 0, 0.87345803, 1.42158461, 0.60367393
212, 04/02/2020, 13:06:00, "...", 0, 0.87283999, 1.40808272, 0.59225386
211, 04/02/2020, 13:07:00, "...", 0, 0.87299532, 1.39502525, 0.58068913
210, 04/02/2020, 13:08:00, "...", 0, 0.87173349, 1.39426696, 0.5816102
209, 04/02/2020, 13:09:00, "...", 0, 0.87394398, 1.387779, 0.57331753
208, 04/02/2020, 13:10:00, "...", 0, 0.87194842, 1.39574659, 0.58193624
207, 04/02/2020, 13:11:00, "...", 0, 0.87291801, 1.38476467, 0.57124847
206, 04/02/2020, 13:12:00, "...", 0, 0.87319958, 1.38154149, 0.56884855
205, 04/02/2020, 13:13:00, "...", 0, 0.87176764, 1.37998271, 0.56839883
204, 04/02/2020, 13:14:00, "...", 0, 0.87081259, 1.37816203, 0.56742918
203, 04/02/2020, 13:15:00, "...", 0, 0.8723911, 1.37219369, 0.56072462
202, 04/02/2020, 13:16:00, "...", 0, 0.87145746, 1.36591053, 0.55607891
201, 04/02/2020, 13:17:00, "...", 0, 0.86909151, 1.36924922, 0.56073356
200, 04/02/2020, 13:18:00, "...", 0, 0.87502253, 1.36673641, 0.5546394
199, 04/02/2020, 13:19:00, "...", 2.6947608, 0.86908948, 1.36430776, 3.29372096
198, 04/02/2020, 13:20:00, "...", 2.50751162, 0.86590695, 1.35666335, 2.94482899
197, 04/02/2020, 13:21:00, "...", 2.50641513, 0.86695886, 1.34664023, 2.93789577
196, 04/02/2020, 13:22:00, "...", 2.50503683, 0.8670646, 1.33960569, 2.93262935
195, 04/02/2020, 13:23:00, "...", 2.50274277, 0.86684513, 1.34256899, 2.93126965
194, 04/02/2020, 13:24:00, "...", 2.50127888, 0.86541241, 1.34177804, 2.93040633
193, 04/02/2020, 13:25:00, "...", 2.50099039, 0.86506593, 1.34158504, 2.93036151
192, 04/02/2020, 13:26:00, "...", 2.49606705, 0.86723566, 1.3353653, 2.91972184
191, 04/02/2020, 13:27:00, "...", 2.4968605, 0.86761147, 1.32826984, 2.91701078
190, 04/02/2020, 13:28:00, "...", 2.48983455, 0.86794698, 1.32843184, 2.90865755
189, 04/02/2020, 13:29:00, "...", 2.49348879, 0.86692852, 1.32434094, 2.91326618
188, 04/02/2020, 13:30:00, "...", 2.49293756, 0.86685151, 1.32134533, 2.91116738
187, 04/02/2020, 13:31:00, "...", 2.48658919, 0.8661952, 1.32247674, 2.90429306
186, 04/02/2020, 13:32:00, "...", 2.48410916, 0.86375892, 1.32708693, 2.90326786
185, 04/02/2020, 13:33:00, "...", 2.47898006, 0.8654843, 1.32466674, 2.89601302
184, 04/02/2020, 13:34:00, "...", 2.47813416, 0.82059151, 1.31907368, 2.93173909
183, 04/02/2020, 13:35:00, "...", 0.30184585, 0, 0.41952282, 0.68435895
182, 04/02/2020, 13:36:00, "...", 0, 0, 0, 0
181, 04/02/2020, 13:37:00, "...", 0, 0, 0, 0
180, 04/02/2020, 13:38:00, "...", 0, 0, 0, 0
179, 04/02/2020, 13:39:00, "...", 0, 0, 0, 0
178, 04/02/2020, 13:40:00, "...", 0, 0, 0, 0
177, 04/02/2020, 13:41:00, "...", 0, 0, 0, 0
176, 04/02/2020, 13:42:00, "...", 0, 0, 0, 0
175, 04/02/2020, 13:43:00, "...", 0, 0, 0, 0
174, 04/02/2020, 13:44:00, "...", 0, 0, 0, 0
173, 04/02/2020, 13:45:00, "...", 0, 0, 0, 0
172, 04/02/2020, 13:46:00, "...", 0, 0, 0, 0
171, 04/02/2020, 13:47:00, "...", 0, 0, 0, 0
170, 04/02/2020, 13:48:00, "...", 0, 0, 0, 0
169, 04/02/2020, 13:49:00, "...", 0, 0, 0, 0
168, 04/02/2020, 13:50:00, "...", 0, 0, 0, 0
167, 04/02/2020, 13:51:00, "...", 0, 0, 0, 0
166, 04/02/2020, 13:52:00, "...", 0, 0, 0, 0
165, 04/02/2020, 13:53:00, "...", 0, 0, 0, 0
164, 04/02/2020, 13:54:00, "...", 0, 0, 0, 0
163, 04/02/2020, 13:55:00, "...", 0, 0, 0, 0
162, 04/02/2020, 13:56:00, "...", 0, 0, 0, 0
161, 04/02/2020, 13:57:00, "...", 0, 0, 0, 0
160, 04/02/2020, 13:58:00, "...", 0, 0, 0, 0
159, 04/02/2020, 13:59:00, "...", 0, 0, 0, 0
158, 04/02/2020, 14:00:00, "...", 0, 0, 0, 0
157, 04/02/2020, 14:01:00, "...", 0, 0, 0, 0
156, 04/02/2020, 14:02:00, "...", 0, 0, 0, 0
155, 04/02/2020, 14:03:00, "...", 0, 0, 0, 0
154, 04/02/2020, 14:04:00, "...", 0, 0, 0, 0
153, 04/02/2020, 14:05:00, "(2)", 0, 0, 0, 0
152, 04/17/2020, 08:02:00, "(2;3)", 0.01877988, 0.08078815, 0.01015767, 0.12966493
151, 04/17/2020, 08:03:00, "...", 0, 0, 0, 0
150, 04/17/2020, 08:04:00, "...", 0, 0, 0, 0
149, 04/17/2020, 08:05:00, "...", 0, 0, 0, 0
148, 04/17/2020, 08:06:00, "...", 0, 0, 0, 0
147, 04/17/2020, 08:07:00, "...", 0, 0, 0, 0
146, 04/17/2020, 08:08:00, "(2;3)", 0.00944383, 0.04131167, 0, 0.06543497
145, 04/17/2020, 08:09:00, "...", 0, 0, 0, 0
144, 04/17/2020, 08:10:00, "...", 0, 0, 0, 0
143, 04/17/2020, 08:11:00, "...", 0, 0, 0, 0
142, 04/17/2020, 08:12:00, "(2;3)", 0.02422376, 0.10646325, 0, 0.1687216
141, 04/17/2020, 08:13:00, "...", 0, 0, 0, 0
140, 04/17/2020, 08:14:00, "...", 0, 0, 0, 0
139, 04/17/2020, 08:15:00, "...", 0, 0, 0, 0
138, 04/17/2020, 08:16:00, "...", 0, 0, 0, 0
137, 04/17/2020, 08:17:00, "...", 0, 0, 0, 0
136, 04/17/2020, 08:18:00, "...", 0, 0, 0, 0
135, 04/17/2020, 08:19:00, "...", 0, 0, 0, 0
134, 04/17/2020, 08:20:00, "...", 0, 0, 0, 0
133, 04/17/2020, 08:21:00, "...", 0, 0, 0, 0
132, 04/17/2020, 08:22:00, "...", 0, 0, 0, 0
131, 04/17/2020, 08:23:00, "...", 0, 0, 0, 0
130, 04/17/2020, 08:24:00, "(2)", 0, 0, 0, 0
129, 04/17/2020, 08:25:00, "(2;3)", 0.00780229, 0.03467376, 0, 0.05412855
128, 04/17/2020, 08:26:00, "...", 0, 0, 0, 0
127, 04/17/2020, 08:27:00, "...", 0, 0, 0, 0
126, 04/17/2020, 08:28:00, "...", 0, 0, 0, 0
125, 04/17/2020, 08:29:00, "...", 0, 0, 0, 0
124, 04/17/2020, 08:30:00, "...", 0, 0, 0, 0
123, 04/17/2020, 08:31:00, "...", 0, 0, 0, 0
122, 04/17/2020, 08:32:00, "...", 0, 0, 0, 0
121, 04/17/2020, 08:33:00, "...", 0, 0, 0, 0
120, 04/17/2020, 08:34:00, "...", 0, 0, 0, 0
119, 04/17/2020, 08:35:00, "...", 0, 0, 0, 0
118, 04/17/2020, 08:36:00, "...", 0, 0, 0, 0
117, 04/17/2020, 08:37:00, "...", 0, 0, 0, 0
116, 04/17/2020, 08:38:00, "...", 0, 0, 0, 0
115, 04/17/2020, 08:39:00, "...", 0, 0, 0, 0
114, 04/17/2020, 08:40:00, "...", 0, 0, 0, 0
113, 04/17/2020, 08:41:00, "...", 0, 0, 0, 0
112, 04/17/2020, 08:42:00, "...", 0, 0, 0, 0
111, 04/17/2020, 08:43:00, "...", 0, 0, 0, 0
110, 04/17/2020, 08:44:00, "...", 0, 0, 0, 0
109, 04/17/2020, 08:45:00, "...", 0, 0, 0, 0
108, 04/17/2020, 08:46:00, "(2;3)", 0.01378664, 0.06364761, 0, 0.09830451
107, 04/17/2020, 08:47:00, "...", 0, 0, 0, 0
106, 04/17/2020, 08:48:00, "...", 0, 0, 0, 0
105, 04/17/2020, 08:49:00, "...", 0, 0, 0, 0
104, 04/17/2020, 08:50:00, "...", 0, 0, 0, 0
103, 04/17/2020, 08:51:00, "...", 0, 0, 0, 0
102, 04/17/2020, 08:52:00, "...", 0, 0, 0, 0
101, 04/17/2020, 08:53:00, "...", 0, 0, 0, 0
100, 04/17/2020, 08:54:00, "...", 0, 0, 0, 0
99, 04/17/2020, 08:55:00, "...", 0, 0, 0, 0
98, 04/17/2020, 08:56:00, "(2;3)", 0.00774895, 0.03536724, 0, 0.05499186
97, 04/17/2020, 08:57:00, "...", 0, 0, 0, 0
96, 04/17/2020, 08:58:00, "...", 0, 0, 0, 0
95, 04/17/2020, 08:59:00, "...", 0, 0, 0, 0
94, 04/17/2020, 09:00:00, "...", 0, 0, 0, 0
93, 04/17/2020, 09:01:00, "...", 0, 0, 0, 0
92, 04/17/2020, 09:02:00, "...", 0, 0, 0, 0
91, 04/17/2020, 09:03:00, "...", 0, 0, 0, 0
90, 04/17/2020, 09:04:00, "...", 0, 0, 0, 0
89, 04/17/2020, 09:05:00, "...", 0, 0, 0, 0
88, 04/17/2020, 09:06:00, "...", 0, 0, 0, 0
87, 04/17/2020, 09:07:00, "...", 0, 0, 0, 0
86, 04/17/2020, 09:08:00, "...", 0, 0, 0, 0
85, 04/17/2020, 09:09:00, "...", 0, 0, 0, 0
84, 04/17/2020, 09:10:00, "...", 0, 0, 0, 0
83, 04/17/2020, 09:11:00, "...", 0, 0, 0, 0
82, 04/17/2020, 09:12:00, "...", 0, 0, 0, 0
81, 04/17/2020, 09:13:00, "...", 0, 0, 0, 0
80, 04/17/2020, 09:14:00, "...", 0, 0, 0, 0
79, 04/17/2020, 09:15:00, "...", 0, 0, 0, 0
78, 04/17/2020, 09:16:00, "...", 0, 0, 0, 0
77, 04/17/2020, 09:17:00, "...", 0, 0, 0, 0
76, 04/17/2020, 09:18:00, "...", 0, 0, 0, 0
75, 04/17/2020, 09:19:00, "...", 0, 0, 0, 0
74, 04/17/2020, 09:20:00, "...", 0, 0, 0, 0
73, 04/17/2020, 09:21:00, "...", 0, 0, 0, 0
72, 04/17/2020, 09:22:00, "...", 0, 0, 0, 0
71, 04/17/2020, 09:23:00, "...", 0, 0, 0, 0
70, 04/17/2020, 09:24:00, "...", 0, 0, 0, 0
69, 04/17/2020, 09:25:00, "...", 0, 0, 0, 0
68, 04/17/2020, 09:26:00, "...", 0, 0, 0, 0
67, 04/17/2020, 09:27:00, "...", 0, 0, 0, 0
66, 04/17/2020, 09:28:00, "...", 0, 0, 0, 0
65, 04/17/2020, 09:29:00, "...", 0, 0, 0, 0
64, 04/17/2020, 09:30:00, "...", 0, 0, 0, 0
63, 04/17/2020, 09:31:00, "...", 0, 0, 0, 0
62, 04/17/2020, 09:32:00, "...", 0, 0, 0, 0
61, 04/17/2020, 09:33:00, "...", 0, 0, 0, 0
60, 04/17/2020, 09:34:00, "...", 0, 0, 0, 0
59, 04/17/2020, 09:35:00, "...", 0, 0, 0, 0
58, 04/17/2020, 09:36:00, "...", 0, 0, 0, 0
57, 04/17/2020, 09:37:00, "...", 0, 0, 0, 0
56, 04/17/2020, 09:38:00, "...", 0, 0, 0, 0
55, 04/17/2020, 09:39:00, "...", 0, 0, 0, 0
54, 04/17/2020, 09:40:00, "...", 0, 0, 0, 0
53, 04/17/2020, 09:41:00, "...", 0, 0, 0, 0
52, 04/17/2020, 09:42:00, "...", 0, 0, 0, 0
51, 04/17/2020, 09:43:00, "...", 0, 0, 0, 0
50, 04/17/2020, 09:44:00, "...", 0, 0, 0, 0
49, 04/17/2020, 09:45:00, "...", 0, 0, 0, 0
48, 04/17/2020, 09:46:00, "...", 0, 0, 0, 0
47, 04/17/2020, 09:47:00, "...", 0, 0, 0, 0
46, 04/17/2020, 09:48:00, "...", 0, 0, 0, 0
45, 04/17/2020, 09:49:00, "...", 0, 0, 0, 0
44, 04/17/2020, 09:50:00, "...", 0, 0, 0, 0
43, 04/17/2020, 09:51:00, "...", 0, 0, 0, 0
42, 04/17/2020, 09:52:00, "...", 0, 0, 0, 0
41, 04/17/2020, 09:53:00, "...", 0, 0, 0, 0
40, 04/17/2020, 09:54:00, "...", 0, 0, 0, 0
39, 04/17/2020, 09:55:00, "...", 0, 0, 0, 0
38, 04/17/2020, 09:56:00, "...", 0, 0, 0, 0
37, 04/17/2020, 09:57:00, "...", 0, 0, 0, 0
36, 04/17/2020, 09:58:00, "...", 0, 0, 0, 0
35, 04/17/2020, 09:59:00, "...", 0, 0, 0, 0
34, 04/17/2020, 10:00:00, "...", 0, 0, 0, 0
33, 04/17/2020, 10:01:00, "...", 0, 0, 0, 0
32, 04/17/2020, 10:02:00, "...", 0, 0, 0, 0
31, 04/17/2020, 10:03:00, "...", 0, 0, 0, 0
30, 04/17/2020, 10:04:00, "...", 0, 0, 0, 0
29, 04/17/2020, 10:05:00, "...", 0, 0, 0, 0
28, 04/17/2020, 10:06:00, "...", 0, 0, 0, 0
27, 04/17/2020, 10:07:00, "...", 0, 0, 0, 0
26, 04/17/2020, 10:08:00, "...", 0, 0, 0, 0
25, 04/17/2020, 10:09:00, "...", 0, 0, 0, 0
24, 04/17/2020, 10:10:00, "...", 0, 0, 0, 0
23, 04/17/2020, 10:11:00, "...", 0, 0, 0, 0
22, 04/17/2020, 10:12:00, "...", 0, 0, 0, 0
21, 04/17/2020, 10:13:00, "...", 0, 0, 0, 0
20, 04/17/2020, 10:14:00, "...", 0, 0, 0, 0
19, 04/17/2020, 10:15:00, "...", 0, 0, 0, 0
18, 04/17/2020, 10:16:00, "...", 0, 0, 0, 0
17, 04/17/2020, 10:17:00, "...", 0, 0, 0, 0
16, 04/17/2020, 10:18:00, "...", 0, 0, 0, 0
15, 04/17/2020, 10:19:00, "...", 0, 0, 0, 0
14, 04/17/2020, 10:20:00, "...", 0, 0, 0, 0
13, 04/17/2020, 10:21:00, "...", 0, 0, 0, 0
12, 04/17/2020, 10:22:00, "...", 0, 0, 0, 0
11, 04/17/2020, 10:23:00, "...", 0, 0, 0, 0
10, 04/17/2020, 10:24:00, "...", 0, 0, 0, 0
9, 04/17/2020, 10:25:00, "...", 0, 0, 0, 0
8, 04/17/2020, 10:26:00, "...", 0, 0, 0, 0
7, 04/17/2020, 10:27:00, "...", 0, 0, 0, 0
6, 04/17/2020, 10:28:00, "...", 0, 0, 0, 0
5, 04/17/2020, 10:29:00, "...", 0, 0, 0, 0
4, 04/17/2020, 10:30:00, "...", 0, 0, 0, 0
3, 04/17/2020, 10:31:00, "...", 0, 0, 0, 0
2, 04/17/2020, 10:32:00, "...", 0, 0, 0, 0
1, 04/17/2020, 10:33:00, "(2)", 0, 0, 0, 0
