FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
LDP, 1, 06/23/2020, 09:15:05, Record, Internal, 14, Kilo, Primary, Unknown, Primary
RecNum, Date, Time, Phase, Status
-1, 1, 2, -1, 3
"PLT_VA", "PLT_VB", "PLT_VC"
4, 5, 6
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR
"EPSOL-KITAGAWA", "SEL-735-R203-V0-Z101100-D20190828", "SUBSTATION", 9, 4000, 4000, 1000, 7200
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale
63, 06/18/2020, 04:00:00, "...", 0.13072804, 0.13308364, 0.1381827
62, 06/18/2020, 06:00:00, "...", 0.12643494, 0.13051037, 0.13440309
61, 06/18/2020, 08:00:00, "...", 0.13204154, 0.13530661, 0.13689011
60, 06/18/2020, 10:00:00, "...", 0.12236187, 0.12772132, 0.12807196
59, 06/18/2020, 12:00:00, "...", 0.11696649, 0.12018324, 0.12160948
58, 06/18/2020, 14:00:00, "...", 0.11685216, 0.12191678, 0.12385498
57, 06/18/2020, 16:00:00, "...", 0.11587591, 0.11840399, 0.12039655
56, 06/18/2020, 18:00:00, "...", 0.15049587, 0.13235061, 0.13151392
55, 06/18/2020, 20:00:00, "...", 0.11896555, 0.12462388, 0.12481911
54, 06/18/2020, 22:00:00, "...", 0.08643658, 0.09100051, 0.09162379
53, 06/19/2020, 00:00:00, "...", 0.11410132, 0.05959682, 0.1028204
52, 06/19/2020, 02:00:00, "...", 0.14769314, 0.15004772, 0.15474713
51, 06/19/2020, 04:00:00, "...", 0.13280155, 0.13745432, 0.1388526
50, 06/19/2020, 06:00:00, "...", 0.1169671, 0.1165728, 0.12262983
49, 06/19/2020, 08:00:00, "...", 0.13264085, 0.13934556, 0.14490464
48, 06/19/2020, 10:00:00, "...", 0.11697163, 0.11984003, 0.11994237
47, 06/19/2020, 12:00:00, "...", 0.10761943, 0.11130324, 0.11228688
46, 06/19/2020, 14:00:00, "...", 0.11288674, 0.11451524, 0.11933313
45, 06/19/2020, 16:00:00, "...", 0.11226066, 0.11477067, 0.12729676
44, 06/19/2020, 18:00:00, "...", 0.10952455, 0.11232153, 0.11419423
43, 06/19/2020, 20:00:00, "...", 0.10801594, 0.10514787, 0.10312907
42, 06/19/2020, 22:00:00, "...", 0.10110065, 0.10430377, 0.11274518
41, 06/20/2020, 00:00:00, "...", 0.04188844, 0.03370503, 0.03813096
40, 06/20/2020, 02:00:00, "...", 0.26148844, 0.16710737, 0.16156536
39, 06/20/2020, 04:00:00, "...", 0.14222394, 0.14527182, 0.1457663
38, 06/20/2020, 06:00:00, "...", 0.13742454, 0.14068097, 0.14866945
37, 06/20/2020, 08:00:00, "...", 0.14937542, 0.15199158, 0.15377329
36, 06/20/2020, 10:00:00, "...", 0.13749051, 0.14586525, 0.1480021
35, 06/20/2020, 12:00:00, "...", 0.12005094, 0.12331609, 0.12502183
34, 06/20/2020, 14:00:00, "...", 0.11587127, 0.11886655, 0.12003657
33, 06/20/2020, 16:00:00, "...", 0.12335328, 0.12203868, 0.12794098
32, 06/20/2020, 18:00:00, "...", 0.13153642, 0.13492259, 0.13672277
31, 06/20/2020, 20:00:00, "...", 0.15805767, 0.1615984, 0.16428718
30, 06/20/2020, 22:00:00, "...", 0.13515608, 0.13692793, 0.13701712
29, 06/21/2020, 00:00:00, "...", 0.11984287, 0.12161323, 0.12074542
28, 06/21/2020, 02:00:00, "...", 0.13716114, 0.14495364, 0.14092295
27, 06/21/2020, 04:00:00, "...", 0.13985328, 0.14318871, 0.14309722
26, 06/21/2020, 06:00:00, "...", 0.12043141, 0.12963514, 0.13130379
25, 06/21/2020, 08:00:00, "...", 0.12139545, 0.12836985, 0.13010804
24, 06/21/2020, 10:00:00, "...", 0.13880666, 0.1453719, 0.14808185
23, 06/21/2020, 12:00:00, "...", 0.14134298, 0.14354904, 0.14954464
22, 06/21/2020, 14:00:00, "...", 0.10420391, 0.1100575, 0.1137898
21, 06/21/2020, 16:00:00, "...", 0.1363156, 0.14177334, 0.14788888
20, 06/21/2020, 18:00:00, "...", 0.16610739, 0.16992503, 0.16962074
19, 06/21/2020, 20:00:00, "...", 0.16272965, 0.16812247, 0.16230296
18, 06/21/2020, 22:00:00, "...", 0.15227282, 0.15255654, 0.16499394
17, 06/22/2020, 00:00:00, "...", 0.1514629, 0.15393463, 0.15249667
16, 06/22/2020, 02:00:00, "...", 0.14760232, 0.1528374, 0.15020403
15, 06/22/2020, 04:00:00, "...", 0.14883795, 0.15015084, 0.15149787
14, 06/22/2020, 06:00:00, "...", 0.15059336, 0.15157263, 0.15344442
13, 06/22/2020, 08:00:00, "...", 0.1489768, 0.14790794, 0.14904718
12, 06/22/2020, 10:00:00, "...", 0.14619011, 0.14798659, 0.14895962
11, 06/22/2020, 12:00:00, "...", 0.1453426, 0.14722934, 0.14844677
10, 06/22/2020, 14:00:00, "...", 0.13842161, 0.14017464, 0.14237145
9, 06/22/2020, 16:00:00, "...", 0.13613437, 0.14152057, 0.13924338
8, 06/22/2020, 18:00:00, "...", 0.1335247, 0.13985586, 0.14250043
7, 06/22/2020, 20:00:00, "...", 0.13923867, 0.14187101, 0.14333192
6, 06/22/2020, 22:00:00, "...", 0.09277201, 0.09676442, 0.09641451
5, 06/23/2020, 00:00:00, "...", 0.07204752, 0.06782955, 0.06822171
4, 06/23/2020, 02:00:00, "...", 0.13425894, 0.1264724, 0.13682057
3, 06/23/2020, 04:00:00, "...", 0.14020433, 0.15958716, 0.14785594
2, 06/23/2020, 06:00:00, "...", 0.14278404, 0.14822794, 0.15173644
1, 06/23/2020, 08:00:00, "...", 0.14620379, 0.14770272, 0.14847516
