PFT3,PFTA,PFTB,PFTC,LDPFT3,HRM3_IA,HRM5_IA,HRM7_IA,HRM9_IA,HRM11_IA,HRM13_IA,HRM15_IA,HRM17_IA,HRM19_IA,HRM21_IA,HRM23_IA,HRM25_IA,HRM27_IA,HRM29_IA,HRM31_IA,HRM33_IA,HRM35_IA,HRM37_IA,HRM39_IA,HRM41_IA,HRM43_IA,HRM45_IA,HRM47_IA,HRM49_IA,HRM25_IB,HRM3_IB,HRM27_IB,HRM5_IB,HRM7_IB,HRM9_IB,HRM11_IB,HRM13_IB,HRM15_IB,HRM17_IB,HRM19_IB,HRM21_IB,HRM23_IB,HRM29_IB,HRM31_IB,HRM33_IB,HRM35_IB,HRM37_IB,HRM39_IB,HRM41_IB,HRM43_IB,HRM45_IB,HRM47_IB,HRM49_IB,HRM3_IC,HRM5_IC,HRM7_IC,HRM23_IC,HRM9_IC,HRM11_IC,HRM13_IC,HRM15_IC,HRM17_IC,HRM19_IC,HRM21_IC,HRM25_IC,HRM27_IC,HRM29_IC,HRM31_IC,HRM33_IC,HRM35_IC,HRM37_IC,HRM39_IC,HRM41_IC,HRM43_IC,HRM45_IC,HRM47_IC,HRM49_IC,VA,VB,VC,VAB,VBC,VCA,FREQ,W3,U3,Q3,QA,QB,QC,UA,UB,UC,WA,WB,WC,I0_IMB,PST_10MIN_VA,PST_10MIN_VB,PST_10MIN_VC,PLT_VA,PLT_VB,PLT_VC,3I0_ANG,IA,IB,IC,IN
,,,,,11.28416348,3.75704026,3.75704026,11.28416348,2.88630986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.92762756,74.08450317,74.2341156,56.86857986,0.0,57.03030777,59.98709488,123.84416199,140.73165894,66.82723999,66.82723999,0.0,0.0,140.73165894,0.0,0.0,123.84416199,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.46753693,3.81699681,3.81699681,11.46753693,2.84111547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.96878815,74.1085968,74.25822449,56.88677597,0.0,57.04858398,59.9835701,122.12465668,139.14579773,66.68576813,66.68576813,0.0,0.0,139.14579773,0.0,0.0,122.12465668,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.22057343,3.73841763,3.73841763,11.22057343,2.80666018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.01629639,74.13223267,74.28190613,56.91086197,0.0,57.07275391,59.99623871,123.47547913,140.36988831,66.76394653,66.76394653,0.0,0.0,140.36988831,0.0,0.0,123.47547913,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.17346478,3.72342849,3.72342849,11.17346478,2.50931144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.98415375,74.11305237,74.26266479,56.89661407,0.0,57.05852127,59.99721146,123.64497375,140.48420715,66.69084167,66.69084167,0.0,0.0,140.48420715,0.0,0.0,123.64497375,0.0,0.0,0.0,,,,,,,,,,,
0.8794533000000001,0.8794533000000001,1.0,1.0,0.0,11.15633392,3.71797776,3.71797776,11.15633392,2.39864516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.89421844,74.0658493,74.21537781,56.853378299999996,0.0,57.015079500000006,59.975498200000004,123.39119720000001,140.23046875,66.62679291,66.62679291,0.0,0.0,140.23046875,0.0,0.0,123.39119720000001,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.25963497,3.75084639,3.75084639,11.25963497,2.77714849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.87406158,74.05072784,74.20024109,56.84703445,0.0,57.00873947,59.98849869,123.17638397,139.95680237,66.44857788,66.44857788,0.0,0.0,139.95680237,0.0,0.0,123.17638397,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.44072056,3.80846429,3.80846429,11.44072056,2.92613053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.87756348,74.04611969,74.19567871,56.85466385,0.0,57.01637268,60.01518631,122.97666168,139.6796875,66.23516846,66.23516846,0.0,0.0,139.6796875,0.0,0.0,122.97666168,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.48466682,3.8224473,3.8224473,11.48466682,2.88118386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.891922,74.05743408,74.20713806,56.85927963,0.0,57.02087021,60.00278091,122.74292755,139.47021484,66.22716522,66.22716522,0.0,0.0,139.47021484,0.0,0.0,122.74292755,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.52463818,3.83516526,3.83516526,11.52463818,2.99454284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.87297058,74.04312134,74.19285583,56.85372162,0.0,57.01519775,60.00434875,122.40930939,139.13491821,66.13939667,66.13939667,0.0,0.0,139.13491821,0.0,0.0,122.40930939,0.0,0.0,0.0,,,,,,,,,,,
0.88011801,0.88011801,1.0,1.0,0.0,11.53177547,3.83743644,3.83743644,11.53177547,2.86840081,0.01275047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.78460693,73.97730255,74.12683868,56.82452393,0.0,56.98592758,60.02700424,122.10649109,138.72357178,65.83444214,65.83444214,0.0,0.0,138.72357178,0.0,0.0,122.10649109,0.0,0.0,0.0,0.33941525,0.3206442,0.32046506,,,,-26.08110619,,,,
,,,,,11.53320312,3.83789062,3.83789062,11.53320312,3.42987561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.77418518,73.97331238,74.12287903,56.81903458,0.0,56.9804306,60.02102661,121.76174927,138.41647339,65.82653046,65.82653046,0.0,0.0,138.41647339,0.0,0.0,121.76174927,0.0,0.0,0.0,,,,,,,,,,,
,,,,,11.53320312,3.83789062,3.83789062,11.53320312,3.40437484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.96906281,74.0827179,74.23249054,56.90786362,0.0,57.06947708,60.03152847,121.61708832,138.36805725,65.9916687,65.9916687,0.0,0.0,138.36805725,0.0,0.0,121.61708832,0.0,0.0,0.0,,,,,,,,,,,
