FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
1199, 06/13/2020, 04:20:00," ""...""",0,0,0,,,,
1198, 06/13/2020, 04:30:00," ""...""",0,0,0,,,,
1197, 06/13/2020, 04:40:00," ""...""",0,0,0,,,,
1196, 06/13/2020, 04:50:00," ""...""",0,0,0,,,,
1195, 06/13/2020, 05:00:00," ""...""",0,0,0,,,,
1194, 06/13/2020, 05:10:00," ""...""",0,0,0,,,,
1193, 06/13/2020, 05:20:00," ""...""",0,0,0,,,,
1192, 06/13/2020, 05:30:00," ""...""",0,0,0,,,,
1191, 06/13/2020, 05:40:00," ""...""",0,0,0,,,,
1190, 06/13/2020, 05:50:00," ""...""",0,0,0,,,,
1189, 06/13/2020, 06:00:00," ""...""",0,0,0,,,,
1188, 06/13/2020, 06:10:00," ""...""",0,0,0,,,,
1187, 06/13/2020, 06:20:00," ""...""",0,0,0,,,,
1186, 06/13/2020, 06:30:00," ""...""",0,0,0,,,,
1185, 06/13/2020, 06:40:00," ""...""",0,0,0,,,,
1184, 06/13/2020, 06:50:00," ""...""",0,0,0,,,,
1183, 06/13/2020, 07:00:00," ""...""",0,0,0,,,,
1182, 06/13/2020, 07:10:00," ""...""",0,0,0,,,,
1181, 06/13/2020, 07:20:00," ""...""",0,0,0,,,,
1180, 06/13/2020, 07:30:00," ""...""",0,0,0,,,,
1179, 06/13/2020, 07:40:00," ""...""",0,0,0,,,,
1178, 06/13/2020, 07:50:00," ""...""",0,0,0,,,,
1177, 06/13/2020, 08:00:00," ""...""",0,0,0,,,,
1176, 06/13/2020, 08:10:00," ""...""",0,0,0,,,,
1175, 06/13/2020, 08:20:00," ""...""",0,0,0,,,,
1174, 06/13/2020, 08:30:00," ""...""",0,0,0,,,,
1173, 06/13/2020, 08:40:00," ""...""",0,0,0,,,,
1172, 06/13/2020, 08:50:00," ""...""",0,0,0,,,,
1171, 06/13/2020, 09:00:00," ""...""",0,0,0,,,,
1170, 06/13/2020, 09:10:00," ""...""",0,0,0,,,,
1169, 06/13/2020, 09:20:00," ""...""",0,0,0,,,,
1168, 06/13/2020, 09:30:00," ""...""",0,0,0,,,,
1167, 06/13/2020, 09:40:00," ""...""",0,0,0,,,,
1166, 06/13/2020, 09:50:00," ""...""",0,0,0,,,,
1165, 06/13/2020, 10:00:00," ""...""",0,0,0,,,,
1164, 06/13/2020, 10:10:00," ""...""",0,0,0,,,,
1163, 06/13/2020, 10:20:00," ""...""",0,0,0,,,,
1162, 06/13/2020, 10:30:00," ""...""",0,0,0,,,,
1161, 06/13/2020, 10:40:00," ""...""",0,0,0,,,,
1160, 06/13/2020, 10:50:00," ""...""",0,0,0,,,,
1159, 06/13/2020, 11:00:00," ""...""",0,0,0,,,,
1158, 06/13/2020, 11:10:00," ""...""",0,0,0,,,,
1157, 06/13/2020, 11:20:00," ""...""",0,0,0,,,,
1156, 06/13/2020, 11:30:00," ""...""",0,0,0,,,,
1155, 06/13/2020, 11:40:00," ""...""",0,0,0,,,,
1154, 06/13/2020, 11:50:00," ""...""",0,0,0,,,,
1153, 06/13/2020, 12:00:00," ""...""",0,0,0,,,,
1152, 06/13/2020, 12:10:00," ""...""",0,0,0,,,,
1151, 06/13/2020, 12:20:00," ""...""",0,0,0,,,,
1150, 06/13/2020, 12:30:00," ""...""",0,0,0,,,,
1149, 06/13/2020, 12:40:00," ""(2)""",0,0,0,,,,
1148, 06/15/2020, 10:00:00," ""(2;3)""",0,0,0,,,,
1147, 06/15/2020, 10:10:00," ""...""",0,0,0,,,,
1146, 06/15/2020, 10:20:00," ""...""",0.00513088,0.00225542,0.00222924,,,,
1145, 06/15/2020, 10:30:00," ""...""",15.39267921,6.76628542,6.68776321,,,,
1144, 06/15/2020, 10:40:00," ""...""",0.11882517,0.12066155,0.126975,,,,
1143, 06/15/2020, 10:50:00," ""...""",0.10989387,6.07762671,9.89217281,,,,
1142, 06/15/2020, 11:00:00," ""...""",0.09836689,0.09876376,0.09940655,,,,
1141, 06/15/2020, 11:10:00," ""...""",0.12394137,0.12320688,0.13364039,,,,
1140, 06/15/2020, 11:20:00," ""...""",0.14037019,0.14229521,0.15507248,,,,
1139, 06/15/2020, 11:30:00," ""...""",0.11505845,0.11135117,0.11694027,,,,
1138, 06/15/2020, 11:40:00," ""...""",0.12712024,0.13668051,0.13852738,,,,
1137, 06/15/2020, 11:50:00," ""...""",0.09667326,0.09829187,0.09834302,,,,
1136, 06/15/2020, 12:00:00," ""...""",0.10635935,0.10400634,0.10392272,,,,
1135, 06/15/2020, 12:10:00," ""...""",0.10912936,0.1104584,0.11135541,,,,
1134, 06/15/2020, 12:20:00," ""...""",0.12007383,0.15151386,0.14243674,,,,
1133, 06/15/2020, 12:30:00," ""...""",0.13639833,0.13573076,0.14035107,,,,
1132, 06/15/2020, 12:40:00," ""...""",0.11321108,0.11876267,0.1213495,,,,
1131, 06/15/2020, 12:50:00," ""...""",0.12473417,0.11856833,0.12209065,,,,
1130, 06/15/2020, 13:00:00," ""...""",0.0933077,0.09195309,0.09442021,,,,
1129, 06/15/2020, 13:10:00," ""...""",0.11763755,0.12450392,0.13210882,,,,
1128, 06/15/2020, 13:20:00," ""...""",0.0858433,0.09134267,0.09338387,,,,
1127, 06/15/2020, 13:30:00," ""...""",0.10849397,0.10683081,0.10646348,,,,
1126, 06/15/2020, 13:40:00," ""...""",0.13237229,0.13262218,0.14225781,,,,
1125, 06/15/2020, 13:50:00," ""...""",0.10465243,0.107241,0.11014117,,,,
1124, 06/15/2020, 14:00:00," ""...""",0.11736958,0.12733407,0.12422606,,,,
1123, 06/15/2020, 14:10:00," ""...""",0.08952917,0.09209421,0.09334678,,,,
1122, 06/15/2020, 14:20:00," ""...""",0.08193621,0.08367563,0.08352852,,,,
1121, 06/15/2020, 14:30:00," ""...""",0.10568093,0.10397455,0.1085318,,,,
1120, 06/15/2020, 14:40:00," ""...""",0.1408024,0.14422357,0.15026116,,,,
1119, 06/15/2020, 14:50:00," ""...""",0.11573963,0.11840998,0.12133017,,,,
1118, 06/15/2020, 15:00:00," ""...""",0.09833723,0.10779162,0.10791312,,,,
1117, 06/15/2020, 15:10:00," ""...""",0.07794823,0.07693329,0.07751779,,,,
1116, 06/15/2020, 15:20:00," ""...""",0.07261927,0.07412414,0.0727044,,,,
1115, 06/15/2020, 15:30:00," ""...""",0.12000368,0.13079971,0.13117844,,,,
1114, 06/15/2020, 15:40:00," ""...""",0.12031887,0.11899911,0.12838508,,,,
1113, 06/15/2020, 15:50:00," ""...""",0.10732468,0.11619794,0.1141778,,,,
1112, 06/15/2020, 16:00:00," ""...""",0.08889131,0.08981296,0.09015527,,,,
1111, 06/15/2020, 16:10:00," ""...""",0.10642365,0.10752901,0.10844703,,,,
1110, 06/15/2020, 16:20:00," ""...""",0.11238454,0.11475318,0.11462755,,,,
1109, 06/15/2020, 16:30:00," ""...""",0.10440673,0.10093412,0.10013483,,,,
1108, 06/15/2020, 16:40:00," ""...""",0.0962937,0.09803722,0.09757328,,,,
1107, 06/15/2020, 16:50:00," ""...""",0.11793107,0.1083287,0.11469307,,,,
1106, 06/15/2020, 17:00:00," ""...""",0.1063947,0.10568319,0.11857058,,,,
1105, 06/15/2020, 17:10:00," ""...""",0.13359508,0.1377065,0.1374719,,,,
1104, 06/15/2020, 17:20:00," ""...""",0.14543717,0.14946342,0.14944403,,,,
1103, 06/15/2020, 17:30:00," ""...""",0.12274534,0.12679915,0.12842965,,,,
1102, 06/15/2020, 17:40:00," ""...""",0.08997304,0.08760946,0.09228509,,,,
1101, 06/15/2020, 17:50:00," ""...""",0.09743408,0.10003323,0.09940878,,,,
1100, 06/15/2020, 18:00:00," ""...""",0.1261414,0.12953709,0.12757055,,,,
1099, 06/15/2020, 18:10:00," ""...""",0.12494548,0.12700149,0.12930119,,,,
1098, 06/15/2020, 18:20:00," ""...""",0.10344829,0.10465831,0.10824168,,,,
1097, 06/15/2020, 18:30:00," ""...""",0.08911479,0.09015131,0.09371111,,,,
1096, 06/15/2020, 18:40:00," ""...""",0.08529399,0.08806007,0.08894897,,,,
1095, 06/15/2020, 18:50:00," ""...""",0.09282368,0.09238435,0.09542674,,,,
1094, 06/15/2020, 19:00:00," ""...""",0.09186472,0.09693385,0.0972892,,,,
1093, 06/15/2020, 19:10:00," ""...""",0.08096517,0.08447322,0.08745608,,,,
1092, 06/15/2020, 19:20:00," ""...""",0.08826364,0.08961623,0.08426969,,,,
1091, 06/15/2020, 19:30:00," ""...""",0.12097621,0.12925209,0.12912287,,,,
1090, 06/15/2020, 19:40:00," ""...""",0.08097229,0.08516647,0.0852557,,,,
1089, 06/15/2020, 19:50:00," ""...""",0.09070083,0.09034324,0.09245639,,,,
1088, 06/15/2020, 20:00:00," ""...""",0.05220871,0.05452881,0.04624935,,,,
1087, 06/15/2020, 20:10:00," ""...""",0.02359964,0.02668254,0.02057138,,,,
1086, 06/15/2020, 20:20:00," ""...""",0.10606007,0.10401957,0.10128603,,,,
