FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
LDP,1, 06/23/2020, 09:15:03, Record, Internal,13, Kilo, Primary, Unknown, Primary
RecNum, Date, Time, Phase, Status,,,,,,
-1,1,2,-1,3,,,,,,
PST_10MIN_VA," ""PST_10MIN_VB"""," ""PST_10MIN_VC""",,,,,,,,
4,5,6,,,,,,,,
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR,,,
EPSOL-KITAGAWA," ""SEL-735-R203-V0-Z101100-D20190828"""," ""SUBSTATION""",9,4000,4000,1000,600,,,
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale,,,,
PST_10MIN_VA, AVG," ""NA"""," ""1""",1,999999999,1,,,,
PST_10MIN_VB, AVG," ""NA"""," ""1""",1,999999999,1,,,,
PST_10MIN_VC, AVG," ""NA"""," ""1""",1,999999999,1,,,,
EventDate, EventTime, EventCode, EventDescription,,,,,,,
6/10/2020, 14:43:30.603, X2048," ""SALARM"," Assert""",,,,,,
6/10/2020, 14:43:31.603, X1048," ""SALARM"," Deassert""",,,,,,
6/11/2020, 11:16:52.432, X2048," ""SALARM"," Assert""",,,,,,
6/11/2020, 11:16:53.432, X1048," ""SALARM"," Deassert""",,,,,,
6/11/2020, 11:17:07.057, X0000," ""Device settings changed""",,,,,,,
6/11/2020, 11:17:08.357, X2048," ""SALARM"," Assert""",,,,,,
6/11/2020, 11:17:09.357, X1048," ""SALARM"," Deassert""",,,,,,
6/13/2020, 12:37:50.372, X0002," ""Power loss""",,,,,,,
6/15/2020, 09:57:47.688, X0001," ""Power restored""",,,,,,,
6/15/2020, 10:04:10.021, X2048," ""SALARM"," Assert""",,,,,,
6/15/2020, 10:04:11.021, X1048," ""SALARM"," Deassert""",,,,,,
6/15/2020, 10:04:15.971, X0000," ""Device settings changed""",,,,,,,
6/15/2020, 10:04:16.538, X2048," ""SALARM"," Assert""",,,,,,
6/15/2020, 10:04:17.538, X1048," ""SALARM"," Deassert""",,,,,,
6/15/2020, 10:04:26.563, X0000," ""Device settings changed""",,,,,,,
6/15/2020, 10:04:27.413, X2048," ""SALARM"," Assert""",,,,,,
6/15/2020, 10:04:28.413, X1048," ""SALARM"," Deassert""",,,,,,
6/15/2020, 10:16:36.535, X2032," ""SSI_EVE"," Assert""",,,,,,
6/23/2020, 08:54:29.452, X0002," ""Power loss""",,,,,,,
6/23/2020, 09:06:40.244, X0001," ""Power restored""",,,,,,,
Record, Date, Time, Status," ""PST_10MIN_VA"""," ""PST_10MIN_VB"""," ""PST_10MIN_VC""",,,,
1445, 06/11/2020, 11:20:00," ""...""",0,0,0,,,,
1444, 06/11/2020, 11:30:00," ""...""",0,0,0,,,,
1443, 06/11/2020, 11:40:00," ""...""",0,0,0,,,,
1442, 06/11/2020, 11:50:00," ""...""",0,0,0,,,,
1441, 06/11/2020, 12:00:00," ""...""",0,0,0,,,,
1440, 06/11/2020, 12:10:00," ""...""",0,0,0,,,,
1439, 06/11/2020, 12:20:00," ""...""",0,0,0,,,,
1438, 06/11/2020, 12:30:00," ""...""",0,0,0,,,,
1437, 06/11/2020, 12:40:00," ""...""",0,0,0,,,,
1436, 06/11/2020, 12:50:00," ""...""",0,0,0,,,,
1435, 06/11/2020, 13:00:00," ""...""",0,0,0,,,,
1434, 06/11/2020, 13:10:00," ""...""",0,0,0,,,,
1433, 06/11/2020, 13:20:00," ""...""",0,0,0,,,,
1432, 06/11/2020, 13:30:00," ""...""",0,0,0,,,,
1431, 06/11/2020, 13:40:00," ""...""",0,0,0,,,,
1430, 06/11/2020, 13:50:00," ""...""",0,0,0,,,,
1429, 06/11/2020, 14:00:00," ""...""",0,0,0,,,,
1428, 06/11/2020, 14:10:00," ""...""",0,0,0,,,,
1427, 06/11/2020, 14:20:00," ""...""",0,0,0,,,,
1426, 06/11/2020, 14:30:00," ""...""",0,0,0,,,,
1425, 06/11/2020, 14:40:00," ""...""",0,0,0,,,,
1424, 06/11/2020, 14:50:00," ""...""",0,0,0,,,,
1423, 06/11/2020, 15:00:00," ""...""",0,0,0,,,,
1422, 06/11/2020, 15:10:00," ""...""",0,0,0,,,,
1421, 06/11/2020, 15:20:00," ""...""",0,0,0,,,,
1420, 06/11/2020, 15:30:00," ""...""",0,0,0,,,,
1419, 06/11/2020, 15:40:00," ""...""",0,0,0,,,,
1418, 06/11/2020, 15:50:00," ""...""",0,0,0,,,,
1417, 06/11/2020, 16:00:00," ""...""",0,0,0,,,,
1416, 06/11/2020, 16:10:00," ""...""",0,0,0,,,,
1415, 06/11/2020, 16:20:00," ""...""",0,0,0,,,,
1414, 06/11/2020, 16:30:00," ""...""",0,0,0,,,,
1413, 06/11/2020, 16:40:00," ""...""",0,0,0,,,,
1412, 06/11/2020, 16:50:00," ""...""",0,0,0,,,,
1411, 06/11/2020, 17:00:00," ""...""",0,0,0,,,,
1410, 06/11/2020, 17:10:00," ""...""",0,0,0,,,,
1409, 06/11/2020, 17:20:00," ""...""",0,0,0,,,,
1408, 06/11/2020, 17:30:00," ""...""",0,0,0,,,,
1407, 06/11/2020, 17:40:00," ""...""",0,0,0,,,,
1406, 06/11/2020, 17:50:00," ""...""",0,0,0,,,,
1405, 06/11/2020, 18:00:00," ""...""",0,0,0,,,,
1404, 06/11/2020, 18:10:00," ""...""",0,0,0,,,,
1403, 06/11/2020, 18:20:00," ""...""",0,0,0,,,,
1402, 06/11/2020, 18:30:00," ""...""",0,0,0,,,,
1401, 06/11/2020, 18:40:00," ""...""",0,0,0,,,,
1400, 06/11/2020, 18:50:00," ""...""",0,0,0,,,,
1399, 06/11/2020, 19:00:00," ""...""",0,0,0,,,,
1398, 06/11/2020, 19:10:00," ""...""",0,0,0,,,,
1397, 06/11/2020, 19:20:00," ""...""",0,0,0,,,,
1396, 06/11/2020, 19:30:00," ""...""",0,0,0,,,,
1395, 06/11/2020, 19:40:00," ""...""",0,0,0,,,,
1394, 06/11/2020, 19:50:00," ""...""",0,0,0,,,,
1393, 06/11/2020, 20:00:00," ""...""",0,0,0,,,,
1392, 06/11/2020, 20:10:00," ""...""",0,0,0,,,,
1391, 06/11/2020, 20:20:00," ""...""",0,0,0,,,,
1390, 06/11/2020, 20:30:00," ""...""",0,0,0,,,,
1389, 06/11/2020, 20:40:00," ""...""",0,0,0,,,,
1388, 06/11/2020, 20:50:00," ""...""",0,0,0,,,,
1387, 06/11/2020, 21:00:00," ""...""",0,0,0,,,,
1386, 06/11/2020, 21:10:00," ""...""",0,0,0,,,,
1385, 06/11/2020, 21:20:00," ""...""",0,0,0,,,,
1384, 06/11/2020, 21:30:00," ""...""",0,0,0,,,,
1383, 06/11/2020, 21:40:00," ""...""",0,0,0,,,,
1382, 06/11/2020, 21:50:00," ""...""",0,0,0,,,,
1381, 06/11/2020, 22:00:00," ""...""",0,0,0,,,,
1380, 06/11/2020, 22:10:00," ""...""",0,0,0,,,,
1379, 06/11/2020, 22:20:00," ""...""",0,0,0,,,,
1378, 06/11/2020, 22:30:00," ""...""",0,0,0,,,,
1377, 06/11/2020, 22:40:00," ""...""",0,0,0,,,,
1376, 06/11/2020, 22:50:00," ""...""",0,0,0,,,,
1375, 06/11/2020, 23:00:00," ""...""",0,0,0,,,,
1374, 06/11/2020, 23:10:00," ""...""",0,0,0,,,,
1373, 06/11/2020, 23:20:00," ""...""",0,0,0,,,,
1372, 06/11/2020, 23:30:00," ""...""",0,0,0,,,,
1371, 06/11/2020, 23:40:00," ""...""",0,0,0,,,,
1370, 06/11/2020, 23:50:00," ""...""",0,0,0,,,,
1369, 06/12/2020, 00:00:00," ""...""",0,0,0,,,,
1368, 06/12/2020, 00:10:00," ""...""",0,0,0,,,,
1367, 06/12/2020, 00:20:00," ""...""",0,0,0,,,,
1366, 06/12/2020, 00:30:00," ""...""",0,0,0,,,,
1365, 06/12/2020, 00:40:00," ""...""",0,0,0,,,,
1364, 06/12/2020, 00:50:00," ""...""",0,0,0,,,,
1363, 06/12/2020, 01:00:00," ""...""",0,0,0,,,,
1362, 06/12/2020, 01:10:00," ""...""",0,0,0,,,,
1361, 06/12/2020, 01:20:00," ""...""",0,0,0,,,,
1360, 06/12/2020, 01:30:00," ""...""",0,0,0,,,,
1359, 06/12/2020, 01:40:00," ""...""",0,0,0,,,,
1358, 06/12/2020, 01:50:00," ""...""",0,0,0,,,,
1357, 06/12/2020, 02:00:00," ""...""",0,0,0,,,,
1356, 06/12/2020, 02:10:00," ""...""",0,0,0,,,,
1355, 06/12/2020, 02:20:00," ""...""",0,0,0,,,,
1354, 06/12/2020, 02:30:00," ""...""",0,0,0,,,,
1353, 06/12/2020, 02:40:00," ""...""",0,0,0,,,,
1352, 06/12/2020, 02:50:00," ""...""",0,0,0,,,,
1351, 06/12/2020, 03:00:00," ""...""",0,0,0,,,,
1350, 06/12/2020, 03:10:00," ""...""",0,0,0,,,,
1349, 06/12/2020, 03:20:00," ""...""",0,0,0,,,,
1348, 06/12/2020, 03:30:00," ""...""",0,0,0,,,,
1347, 06/12/2020, 03:40:00," ""...""",0,0,0,,,,
1346, 06/12/2020, 03:50:00," ""...""",0,0,0,,,,
1345, 06/12/2020, 04:00:00," ""...""",0,0,0,,,,
1344, 06/12/2020, 04:10:00," ""...""",0,0,0,,,,
1343, 06/12/2020, 04:20:00," ""...""",0,0,0,,,,
1342, 06/12/2020, 04:30:00," ""...""",0,0,0,,,,
1341, 06/12/2020, 04:40:00," ""...""",0,0,0,,,,
1340, 06/12/2020, 04:50:00," ""...""",0,0,0,,,,
1339, 06/12/2020, 05:00:00," ""...""",0,0,0,,,,
1338, 06/12/2020, 05:10:00," ""...""",0,0,0,,,,
1337, 06/12/2020, 05:20:00," ""...""",0,0,0,,,,
1336, 06/12/2020, 05:30:00," ""...""",0,0,0,,,,
1335, 06/12/2020, 05:40:00," ""...""",0,0,0,,,,
1334, 06/12/2020, 05:50:00," ""...""",0,0,0,,,,
1333, 06/12/2020, 06:00:00," ""...""",0,0,0,,,,
1332, 06/12/2020, 06:10:00," ""...""",0,0,0,,,,
1331, 06/12/2020, 06:20:00," ""...""",0,0,0,,,,
1330, 06/12/2020, 06:30:00," ""...""",0,0,0,,,,
1329, 06/12/2020, 06:40:00," ""...""",0,0,0,,,,
1328, 06/12/2020, 06:50:00," ""...""",0,0,0,,,,
1327, 06/12/2020, 07:00:00," ""...""",0,0,0,,,,
1326, 06/12/2020, 07:10:00," ""...""",0,0,0,,,,
1325, 06/12/2020, 07:20:00," ""...""",0,0,0,,,,
1324, 06/12/2020, 07:30:00," ""...""",0,0,0,,,,
1323, 06/12/2020, 07:40:00," ""...""",0,0,0,,,,
1322, 06/12/2020, 07:50:00," ""...""",0,0,0,,,,
1321, 06/12/2020, 08:00:00," ""...""",0,0,0,,,,
1320, 06/12/2020, 08:10:00," ""...""",0,0,0,,,,
1319, 06/12/2020, 08:20:00," ""...""",0,0,0,,,,
1318, 06/12/2020, 08:30:00," ""...""",0,0,0,,,,
1317, 06/12/2020, 08:40:00," ""...""",0,0,0,,,,
1316, 06/12/2020, 08:50:00," ""...""",0,0,0,,,,
1315, 06/12/2020, 09:00:00," ""...""",0,0,0,,,,
1314, 06/12/2020, 09:10:00," ""...""",0,0,0,,,,
1313, 06/12/2020, 09:20:00," ""...""",0,0,0,,,,
1312, 06/12/2020, 09:30:00," ""...""",0,0,0,,,,
1311, 06/12/2020, 09:40:00," ""...""",0,0,0,,,,
1310, 06/12/2020, 09:50:00," ""...""",0,0,0,,,,
1309, 06/12/2020, 10:00:00," ""...""",0,0,0,,,,
1308, 06/12/2020, 10:10:00," ""...""",0,0,0,,,,
1307, 06/12/2020, 10:20:00," ""...""",0,0,0,,,,
1306, 06/12/2020, 10:30:00," ""...""",0,0,0,,,,
1305, 06/12/2020, 10:40:00," ""...""",0,0,0,,,,
1304, 06/12/2020, 10:50:00," ""...""",0,0,0,,,,
1303, 06/12/2020, 11:00:00," ""...""",0,0,0,,,,
1302, 06/12/2020, 11:10:00," ""...""",0,0,0,,,,
1301, 06/12/2020, 11:20:00," ""...""",0,0,0,,,,
1300, 06/12/2020, 11:30:00," ""...""",0,0,0,,,,
1299, 06/12/2020, 11:40:00," ""...""",0,0,0,,,,
1298, 06/12/2020, 11:50:00," ""...""",0,0,0,,,,
1297, 06/12/2020, 12:00:00," ""...""",0,0,0,,,,
1296, 06/12/2020, 12:10:00," ""...""",0,0,0,,,,
1295, 06/12/2020, 12:20:00," ""...""",0,0,0,,,,
1294, 06/12/2020, 12:30:00," ""...""",0,0,0,,,,
1293, 06/12/2020, 12:40:00," ""...""",0,0,0,,,,
1292, 06/12/2020, 12:50:00," ""...""",0,0,0,,,,
1291, 06/12/2020, 13:00:00," ""...""",0,0,0,,,,
1290, 06/12/2020, 13:10:00," ""...""",0,0,0,,,,
1289, 06/12/2020, 13:20:00," ""...""",0,0,0,,,,
1288, 06/12/2020, 13:30:00," ""...""",0,0,0,,,,
1287, 06/12/2020, 13:40:00," ""...""",0,0,0,,,,
1286, 06/12/2020, 13:50:00," ""...""",0,0,0,,,,
1285, 06/12/2020, 14:00:00," ""...""",0,0,0,,,,
1284, 06/12/2020, 14:10:00," ""...""",0,0,0,,,,
1283, 06/12/2020, 14:20:00," ""...""",0,0,0,,,,
1282, 06/12/2020, 14:30:00," ""...""",0,0,0,,,,
1281, 06/12/2020, 14:40:00," ""...""",0,0,0,,,,
1280, 06/12/2020, 14:50:00," ""...""",0,0,0,,,,
1279, 06/12/2020, 15:00:00," ""...""",0,0,0,,,,
1278, 06/12/2020, 15:10:00," ""...""",0,0,0,,,,
1277, 06/12/2020, 15:20:00," ""...""",0,0,0,,,,
1276, 06/12/2020, 15:30:00," ""...""",0,0,0,,,,
1275, 06/12/2020, 15:40:00," ""...""",0,0,0,,,,
1274, 06/12/2020, 15:50:00," ""...""",0,0,0,,,,
1273, 06/12/2020, 16:00:00," ""...""",0,0,0,,,,
1272, 06/12/2020, 16:10:00," ""...""",0,0,0,,,,
1271, 06/12/2020, 16:20:00," ""...""",0,0,0,,,,
1270, 06/12/2020, 16:30:00," ""...""",0,0,0,,,,
1269, 06/12/2020, 16:40:00," ""...""",0,0,0,,,,
1268, 06/12/2020, 16:50:00," ""...""",0,0,0,,,,
1267, 06/12/2020, 17:00:00," ""...""",0,0,0,,,,
1266, 06/12/2020, 17:10:00," ""...""",0,0,0,,,,
1265, 06/12/2020, 17:20:00," ""...""",0,0,0,,,,
1264, 06/12/2020, 17:30:00," ""...""",0,0,0,,,,
1263, 06/12/2020, 17:40:00," ""...""",0,0,0,,,,
1262, 06/12/2020, 17:50:00," ""...""",0,0,0,,,,
1261, 06/12/2020, 18:00:00," ""...""",0,0,0,,,,
1260, 06/12/2020, 18:10:00," ""...""",0,0,0,,,,
1259, 06/12/2020, 18:20:00," ""...""",0,0,0,,,,
1258, 06/12/2020, 18:30:00," ""...""",0,0,0,,,,
1257, 06/12/2020, 18:40:00," ""...""",0,0,0,,,,
1256, 06/12/2020, 18:50:00," ""...""",0,0,0,,,,
1255, 06/12/2020, 19:00:00," ""...""",0,0,0,,,,
1254, 06/12/2020, 19:10:00," ""...""",0,0,0,,,,
1253, 06/12/2020, 19:20:00," ""...""",0,0,0,,,,
1252, 06/12/2020, 19:30:00," ""...""",0,0,0,,,,
1251, 06/12/2020, 19:40:00," ""...""",0,0,0,,,,
1250, 06/12/2020, 19:50:00," ""...""",0,0,0,,,,
1249, 06/12/2020, 20:00:00," ""...""",0,0,0,,,,
1248, 06/12/2020, 20:10:00," ""...""",0,0,0,,,,
1247, 06/12/2020, 20:20:00," ""...""",0,0,0,,,,
1246, 06/12/2020, 20:30:00," ""...""",0,0,0,,,,
1245, 06/12/2020, 20:40:00," ""...""",0,0,0,,,,
1244, 06/12/2020, 20:50:00," ""...""",0,0,0,,,,
1243, 06/12/2020, 21:00:00," ""...""",0,0,0,,,,
1242, 06/12/2020, 21:10:00," ""...""",0,0,0,,,,
1241, 06/12/2020, 21:20:00," ""...""",0,0,0,,,,
1240, 06/12/2020, 21:30:00," ""...""",0,0,0,,,,
1239, 06/12/2020, 21:40:00," ""...""",0,0,0,,,,
1238, 06/12/2020, 21:50:00," ""...""",0,0,0,,,,
1237, 06/12/2020, 22:00:00," ""...""",0,0,0,,,,
1236, 06/12/2020, 22:10:00," ""...""",0,0,0,,,,
1235, 06/12/2020, 22:20:00," ""...""",0,0,0,,,,
1234, 06/12/2020, 22:30:00," ""...""",0,0,0,,,,
1233, 06/12/2020, 22:40:00," ""...""",0,0,0,,,,
1232, 06/12/2020, 22:50:00," ""...""",0,0,0,,,,
1231, 06/12/2020, 23:00:00," ""...""",0,0,0,,,,
1230, 06/12/2020, 23:10:00," ""...""",0,0,0,,,,
1229, 06/12/2020, 23:20:00," ""...""",0,0,0,,,,
1228, 06/12/2020, 23:30:00," ""...""",0,0,0,,,,
1227, 06/12/2020, 23:40:00," ""...""",0,0,0,,,,
1226, 06/12/2020, 23:50:00," ""...""",0,0,0,,,,
1225, 06/13/2020, 00:00:00," ""...""",0,0,0,,,,
1224, 06/13/2020, 00:10:00," ""...""",0,0,0,,,,
1223, 06/13/2020, 00:20:00," ""...""",0,0,0,,,,
1222, 06/13/2020, 00:30:00," ""...""",0,0,0,,,,
1221, 06/13/2020, 00:40:00," ""...""",0,0,0,,,,
1220, 06/13/2020, 00:50:00," ""...""",0,0,0,,,,
1219, 06/13/2020, 01:00:00," ""...""",0,0,0,,,,
1218, 06/13/2020, 01:10:00," ""...""",0,0,0,,,,
1217, 06/13/2020, 01:20:00," ""...""",0,0,0,,,,
1216, 06/13/2020, 01:30:00," ""...""",0,0,0,,,,
1215, 06/13/2020, 01:40:00," ""...""",0,0,0,,,,
1214, 06/13/2020, 01:50:00," ""...""",0,0,0,,,,
1213, 06/13/2020, 02:00:00," ""...""",0,0,0,,,,
1212, 06/13/2020, 02:10:00," ""...""",0,0,0,,,,
1211, 06/13/2020, 02:20:00," ""...""",0,0,0,,,,
1210, 06/13/2020, 02:30:00," ""...""",0,0,0,,,,
1209, 06/13/2020, 02:40:00," ""...""",0,0,0,,,,
1208, 06/13/2020, 02:50:00," ""...""",0,0,0,,,,
1207, 06/13/2020, 03:00:00," ""...""",0,0,0,,,,
1206, 06/13/2020, 03:10:00," ""...""",0,0,0,,,,
1205, 06/13/2020, 03:20:00," ""...""",0,0,0,,,,
1204, 06/13/2020, 03:30:00," ""...""",0,0,0,,,,
1203, 06/13/2020, 03:40:00," ""...""",0,0,0,,,,
1202, 06/13/2020, 03:50:00," ""...""",0,0,0,,,,
1201, 06/13/2020, 04:00:00," ""...""",0,0,0,,,,
1200, 06/13/2020, 04:10:00," ""...""",0,0,0,,,,
